	PC1	PC2	PC3	uniqID	filename_prefix	temperature	ph	orp	salinity	conductivity	tds	depthlayer	site	site_depthlayer	depth_cm	Nitrogen_Store	OC_Store	OC_percent	moisture_content	cell_abundance	particle_size_analysis	sand_percent	silt_percent	clay_percent	old_name
KS-C1-L1	-27.957216580317198	22.874092406871284	-1.3695923188459347	KS-C1-L1	KS-C1-L1	29.0	7.2	-7.4	31.53	48.4	24.27	Top	KS	KS_Top	10	23.99	559.1	7.68	99.6	1830000000.0	3.12	1.77	44.6	48.87	2022-KS-C1-L1
KS-C1-L10	-16.324821156731822	30.298975918531006	-29.3895318674652	KS-C1-L10	KS-C1-L10	29.0	7.2	-7.4	31.53	48.4	24.27	Bottom	KS	KS_Bottom	100	13.86	222.07	2.3	86.13	395000000.0	7.13	0.82	81.09	17.75	2022-KS-C1-L10
KS-C1-L5	51.34420984213336	-2.799026717769964	-5.4016377498057295	KS-C1-L5	KS-C1-L5	29.0	7.2	-7.4	31.53	48.4	24.27	Middle	KS	KS_Middle	50	13.3	333.03	3.89	79.28	838000000.0	8.13	8.79	71.52	19.31	2022-KS-C1-L5
KS-C2-L1	-27.320908370055506	-45.84523076395959	11.089653198195315	KS-C2-L1	KS-C2-L1	30.0	6.99	-4.7	20.82	35.45	17.2	Top	KS	KS_Top	10	16.36	199.93	4.36	91.32	1830000000.0	2.53	2.62	32.19	60.74	2022-KS-C2-L1
KS-C2-L10	92.77504788898077	-7.063935334149268	-10.495705549600272	KS-C2-L10	KS-C2-L10	28.0	6.99	-4.7	20.82	35.45	17.2	Bottom	KS	KS_Bottom	100	13.23	158.76	1.65	102.24	865000000.0	5.27	4.4	59.53	33.74	2022-KS-C2-L10
KS-C2-L5	43.95651487157868	51.32819017248495	39.39514210341777	KS-C2-L5	KS-C2-L5	30.0	6.99	-4.7	20.82	35.45	17.2	Middle	KS	KS_Middle	50	15.15	243.56	2.84	95.09	699000000.0	3.15	6.99	40.22	47.52	2022-KS-C2-L5
KS-C3-L1	-71.70804912778311	41.51067265486743	-40.08407724046533	KS-C3-L1	KS-C3-L1	30.0	6.76	-7.8	37.47	56.6	28.3	Top	KS	KS_Top	10	20.22	248.35	3.41	90.36	1880000000.0	2.09	1.69	21.51	72.85	2022-KS-C3-L1
KS-C3-L10	72.64231010576712	-33.52746277745915	-25.85306603716386	KS-C3-L10	KS-C3-L10	31.0	6.76	-7.8	37.47	56.6	28.3	Bottom	KS	KS_Bottom	100	14.33	176.2	1.83	70.03	654000000.0	11.12	10.28	85.79	3.93	2022-KS-C3-L10
KS-C3-L5	-48.83309512718445	22.74542100930703	-4.359349908712362	KS-C3-L5	KS-C3-L5	29.0	6.76	-7.8	37.47	56.6	28.3	Middle	KS	KS_Middle	50	14.21	177.72	2.07	83.46	239000000.0	2.31	1.56	28.64	65.13	2022-KS-C3-L5
KS-C4-L2	-59.002696143694564	-26.78854232521243	-1.2428248768397043	KS-C4-L2	KS-C4-L2							Top	KS	KS_Top	10	16.16	213.97	2.94	80.5	328000000.0	1.52	1.55	5.64	86.6	2022-KS-C4-L2
KS-C4-L5	-24.78931675019738	-33.7621478532661	10.999944629337604	KS-C4-L5	KS-C4-L5							Middle	KS	KS_Middle	50	14.37	172.32	2.01	82.63	216000000.0	2.23	1.11	23.74	71.16	2022-KS-C4-L5
KS-C5-L1	-45.767368961868435	-42.38505791001575	6.319395448810664	KS-C5-L1	KS-C5-L1	30.0	7.36	-4.6	29.83	45.6	23.25	Top	KS	KS_Top	10	18.08	190.12	2.61	91.73	188000000.0	5.35	4.76	62.73	31.08	2022-KS-C5-L1
KS-C5-L5	2.3490161522808974	13.910105404115003	77.65679376740677	KS-C5-L5	KS-C5-L5	30.0	7.36	-4.6	29.83	45.6	23.25	Middle	KS	KS_Middle	50	14.71	186.69	2.18	78.83	155000000.0	4.85	2.21	60.21	35.41	2022-KS-C5-L5
KS-C5-L8	58.63637335709165	9.50394611565561	-27.26514359826964	KS-C5-L8	KS-C5-L8	30.0	7.36	-4.6	29.83	45.6	23.25	Bottom	KS	KS_Bottom	100	14.94	175.04	1.87	75.37	204000000.0	6.38	1.5	51.31	45.45	2022-KS-C5-L8
